id_venta,fecha,producto,categoria,precio_unitario,cantidad,total,region,cliente_id
21,2025-01-30 01:54:32,Teléfono,Electrónica,263.79,1,263.79,Sur,bcba3c2b-e284-41c6-aa58-ca7c771fc56c
22,2025-01-25 14:55:51,Webcam,Accesorios,287.73,1,287.73,Sur,223f3491-cb6e-4bcc-b990-7254c90175b2
23,2025-02-11 03:17:40,Teclado,Accesorios,1329.21,5,6646.05,Oeste,10d4e6a3-a974-4e87-8573-43ddb10869cd
24,2025-02-17 05:52:41,Webcam,Accesorios,234.8,1,234.8,Oeste,0f8973c8-42b3-4ca8-8199-7694eea108e8
25,2025-06-10 10:18:10,Tablet,Electrónica,453.69,2,907.38,Centro,b96cb9ff-d735-4938-857e-e72501582bf5
26,2024-07-29 14:34:24,Cargador,Accesorios,644.92,2,1289.84,Oeste,562f8384-776f-48b7-945b-6b1ddef6e9a4
27,2024-07-24 03:01:37,Audífonos,Accesorios,1476.29,5,7381.45,Este,6c1babfd-11e8-4f2b-b87f-1de205d368d5
28,2025-03-31 10:00:32,Mouse,Accesorios,922.7,1,922.7,Sur,3a1e93a7-23c1-461e-8aa6-7ff766917097
29,2025-05-20 10:43:01,Monitor,Electrónica,596.99,3,1790.97,Norte,89ec8d3a-1f53-4208-8ef5-ccff96026b92
30,2024-11-04 23:26:55,Teléfono,Electrónica,1488.37,4,5953.48,Este,c0be4f27-a33f-4416-b102-f045195e0092
31,2025-04-19 09:02:53,Webcam,Accesorios,1001.37,1,1001.37,Este,28a6b4c9-691d-4da5-8960-656a4400fcf8
32,2024-07-24 17:19:36,Audífonos,Accesorios,1374.41,4,5497.64,Oeste,2d568412-3369-408e-aaf3-0eb7e45a9e51
33,2025-03-29 23:52:40,Webcam,Accesorios,555.39,1,555.39,Centro,8bda0deb-f7f3-4ca6-a6b4-9be57c5ab217
34,2025-03-05 13:23:13,Teléfono,Electrónica,1328.99,5,6644.95,Sur,14c27da0-6766-4e19-a35c-413a62e68067
35,2025-05-05 07:12:04,Teléfono,Electrónica,348.25,2,696.5,Centro,cac3a8c1-f6ee-45e3-a268-2c57ba401948
36,2025-01-26 06:29:45,Bocina,Audio,231.32,2,462.64,Centro,c7eb8049-868d-4419-9476-fe8f2dc61394
37,2024-09-06 20:27:19,Monitor,Electrónica,392.55,5,1962.75,Centro,690bbcbf-9c7b-4873-bf1f-06ddefb0dc3c
38,2024-12-02 22:28:50,Teclado,Accesorios,967.06,5,4835.3,Centro,6bab5584-e5d5-4a99-9b58-5b70daac2e60
39,2025-01-09 15:23:09,Teléfono,Electrónica,698.13,1,698.13,Norte,438cea6c-f097-4965-a91a-aecf09f1f50b
40,2025-03-23 12:42:52,Cargador,Accesorios,469.85,5,2349.25,Centro,b82c4683-93b2-4e8e-8b6d-0c56c416847c
41,2024-11-11 04:04:30,Monitor,Electrónica,46.54,3,139.62,Este,9d5ab9b6-75d4-452a-9692-79bcd2c4509b
42,2024-07-02 20:56:39,Laptop,Electrónica,326.64,3,979.92,Norte,38bee6ca-6816-4901-b2ff-4b1afef4830e
43,2024-12-03 17:58:26,Audífonos,Accesorios,855.34,4,3421.36,Norte,bd478744-92a6-4755-86cd-7c4961a0daa0
44,2024-10-23 10:41:46,Audífonos,Accesorios,286.84,1,286.84,Centro,3efc06ec-55e1-40b9-802d-0676f728e231
45,2024-12-14 07:11:26,Laptop,Electrónica,1391.75,2,2783.5,Norte,5fa8c3c7-a92c-4599-bb74-c10e3b5d8683
46,2024-11-10 00:50:50,Mouse,Accesorios,80.33,2,160.66,Norte,7eb45782-6d23-4603-8979-2f9bdb8d3140
47,2025-04-02 11:13:21,Teléfono,Electrónica,1412.59,5,7062.95,Centro,e2969f2d-7d69-453d-9c02-2b63b91b3f1b
48,2024-09-27 21:28:38,Mouse,Accesorios,1399.1,1,1399.1,Sur,c6cca5b1-0ef7-4dd2-b126-bc8e2550c1d4
49,2024-11-15 17:07:55,Teclado,Accesorios,511.32,5,2556.6,Oeste,4d6b253d-f548-40bd-bb94-de2edfcba5c5
50,2024-09-19 20:19:31,Cargador,Accesorios,1361.05,1,1361.05,Sur,62fe29d3-f7ce-43e9-af24-27962307a3cc
51,2024-12-26 19:38:02,Audífonos,Accesorios,455.22,4,1820.88,Oeste,7dc5d830-ece8-4e27-acdb-af8982de61fc
52,2025-05-18 22:00:29,Audífonos,Accesorios,142.74,2,285.48,Oeste,9e25b409-e091-469f-927c-407d05ef929c
53,2024-12-06 10:10:57,Webcam,Accesorios,400.75,3,1202.25,Sur,b8e3747a-344e-4bd5-9f50-24c2a5bc15ad
54,2024-09-15 19:37:50,Teléfono,Electrónica,522.69,2,1045.38,Oeste,a7dc7d1d-05a0-49d6-8e2e-9a755f367605
55,2024-07-31 18:57:34,Monitor,Electrónica,1060.24,1,1060.24,Norte,2ebcec23-e25a-4dd2-90ae-1e43c8acab34
56,2025-03-04 03:35:40,Teléfono,Electrónica,370.69,3,1112.07,Centro,b06ed141-3a46-470c-a9f6-2a1b7f91c78a
57,2024-08-11 11:22:34,Teléfono,Electrónica,36.79,1,36.79,Sur,b242ea03-a521-4ce4-9c7f-1b896e1fe9ad
58,2025-02-09 11:01:20,Bocina,Audio,1209.35,5,6046.75,Este,248400db-1988-4252-aa36-b0b4fe672267
59,2025-01-30 01:23:59,Laptop,Electrónica,1210.34,4,4841.36,Norte,9db47308-2dd0-44b3-bc17-f1d0579d3523
60,2024-07-26 01:35:17,Monitor,Electrónica,544.19,5,2720.95,Norte,94090ccb-06b0-47aa-a673-55cb8ad2957e
61,2025-03-15 05:13:32,Tablet,Electrónica,418.13,5,2090.65,Este,41af23e6-a7be-4702-b033-504e627f4615
62,2024-09-18 21:30:20,Teléfono,Electrónica,1298.44,5,6492.2,Oeste,d1cdc3bd-311f-4d73-9fb7-ab037e0b3032
63,2025-01-06 07:24:12,Laptop,Electrónica,1360.21,5,6801.05,Oeste,cea259da-e2e8-4da7-ae52-ae3b8e203b74
64,2024-10-15 11:12:47,Laptop,Electrónica,1401.49,2,2802.98,Sur,f18ec1a2-e2fa-45ac-8709-195d1de1b01e
65,2024-11-13 02:59:28,Cargador,Accesorios,467.09,1,467.09,Este,3bab41c8-b66d-4cb1-88d4-3476a3d44b3a
66,2024-10-22 21:44:48,Laptop,Electrónica,633.6,5,3168.0,Oeste,65e86c98-1798-45a6-8157-f238f129f712
67,2024-12-25 03:46:15,Teléfono,Electrónica,594.4,5,2972.0,Norte,4284f3ca-4e90-41dd-89ff-24e62dbc42e6
68,2025-04-05 12:22:15,Laptop,Electrónica,398.6,5,1993.0,Norte,520e2ebf-9fee-454c-b977-e4bf58cd884e
69,2025-06-15 10:57:29,Tablet,Electrónica,223.46,1,223.46,Centro,37ba1243-f2ea-4c3d-8eb6-8a671f8d8b98
70,2025-05-29 00:46:07,Bocina,Audio,1186.03,1,1186.03,Este,17631e8d-366b-46fd-aebb-8d616333766f
71,2025-04-24 18:12:21,Audífonos,Accesorios,667.95,1,667.95,Oeste,0b41dba0-9a33-4ccb-8a2d-78cc310128f5
72,2024-08-22 00:33:02,Cargador,Accesorios,951.93,3,2855.79,Este,62bf10bc-cc83-4f47-b005-e023922c26b6
73,2025-03-02 18:37:53,Laptop,Electrónica,744.93,2,1489.86,Oeste,0d3629d3-a62a-45f2-895a-f5e09d97e414
74,2024-07-15 03:11:52,Teclado,Accesorios,224.56,2,449.12,Este,ccba765c-4077-4771-a1f3-06e406ea2c7c
75,2025-03-20 11:24:15,Laptop,Electrónica,747.69,2,1495.38,Este,7d4948ca-bc83-482e-a79b-a7a67e672fda
76,2025-06-05 22:40:28,Laptop,Electrónica,552.88,2,1105.76,Norte,6941f86f-fbb4-4c1c-b6f5-29fc5f41a388
77,2024-07-15 03:46:51,Bocina,Audio,782.83,4,3131.32,Este,2da7e687-1b93-4bbe-9ca6-56b1b4e60117
78,2024-10-26 16:33:41,Cargador,Accesorios,1336.76,5,6683.8,Oeste,0bede9bb-2606-48a9-9a7f-e84ca6329ad8
79,2025-04-16 21:28:53,Teclado,Accesorios,639.27,2,1278.54,Centro,d41bd80e-693e-4729-890c-c9ebb32b01ac
80,2024-11-16 02:52:05,Tablet,Electrónica,563.47,5,2817.35,Este,ae9f435c-73e2-45bb-a4d6-4e5e4fe3cf5d
81,2025-04-11 01:39:46,Bocina,Audio,1007.12,5,5035.6,Este,2b8f61a4-a7fc-42be-aa2e-f94c8bc2495a
82,2024-12-17 23:15:15,Webcam,Accesorios,1436.1,1,1436.1,Oeste,5300092d-e571-4e92-bd2b-1139f955d68b
83,2024-09-20 01:23:12,Laptop,Electrónica,271.95,1,271.95,Sur,42197c58-6b17-4372-b704-dc7905ee5f1d
84,2024-11-22 22:14:31,Webcam,Accesorios,1198.07,1,1198.07,Norte,da9c10a0-9b43-4f0d-b848-6b69106500ab
85,2024-09-09 10:06:08,Mouse,Accesorios,854.73,4,3418.92,Norte,21350b7a-22d5-42fb-9ff7-044733cb13e9
86,2025-03-16 16:18:19,Mouse,Accesorios,676.26,5,3381.3,Norte,094bb0cb-ce65-4f14-b23f-02ded75a2340
87,2025-05-27 13:06:16,Mouse,Accesorios,458.51,5,2292.55,Este,821fb338-4ab5-459a-aeb8-027e6b90f0c2
88,2025-06-19 12:37:50,Tablet,Electrónica,1146.21,4,4584.84,Sur,68d1ab02-73b8-4815-a6ef-2c95e45eea14
89,2024-08-02 06:43:35,Tablet,Electrónica,892.42,1,892.42,Este,39b94766-0396-4acc-9159-3f3e236c9c9c
90,2024-09-18 15:51:36,Tablet,Electrónica,1155.11,5,5775.55,Este,5fd21ac3-51a1-462a-ba03-7ba679f8feaf
91,2025-05-22 20:46:29,Teclado,Accesorios,1292.96,2,2585.92,Sur,54100ada-1b73-49ef-8450-302d395ca959
92,2024-11-28 06:17:14,Bocina,Audio,897.07,2,1794.14,Norte,6170d758-f674-418b-bcde-160c26146b2b
93,2025-06-10 02:44:03,Monitor,Electrónica,1299.35,3,3898.05,Oeste,d7b45bf0-f473-4983-8e73-843a533c0984
94,2024-09-22 14:55:03,Mouse,Accesorios,748.92,4,2995.68,Este,ab261b52-98f0-4492-a5d3-74e076d23a9b
95,2025-01-29 09:52:05,Teléfono,Electrónica,734.82,5,3674.1,Oeste,3a413c43-c094-4744-a5f3-9e7204cda4c1
96,2025-04-21 12:15:38,Tablet,Electrónica,756.83,1,756.83,Oeste,4b36c59f-7436-4f12-95b4-cea910ac7466
97,2024-06-30 04:04:03,Cargador,Accesorios,51.76,5,258.8,Sur,1f098c78-5ec8-4e52-a38a-65ddf4307af0
98,2025-03-07 13:13:44,Webcam,Accesorios,145.09,3,435.27,Este,61c35373-fe0b-4385-9e30-961590d7cf53
99,2024-07-12 11:27:28,Bocina,Audio,345.48,2,690.96,Sur,0fd72e69-f82d-4c55-b563-349460b3ea84
100,2025-05-08 20:48:19,Audífonos,Accesorios,1255.28,2,2510.56,Centro,3f51e3f0-2101-4867-8598-00700bdf87a8
101,2025-05-02 03:39:33,Tablet,Electrónica,132.15,5,660.75,Sur,48eaf75f-dc53-4324-9333-4032e4b94945
102,2025-01-19 11:27:47,Audífonos,Accesorios,699.23,1,699.23,Este,e846979a-b725-44a8-93d4-179537c2e769
103,2025-03-07 08:50:47,Tablet,Electrónica,887.6,4,3550.4,Norte,0ffb9e20-8d89-44c8-96ae-6af22b8c7825
104,2024-09-02 22:15:07,Cargador,Accesorios,1166.77,1,1166.77,Centro,af1d8154-7074-4828-8540-7494c41eec3c
105,2024-09-03 00:05:38,Mouse,Accesorios,1174.95,4,4699.8,Centro,2fd8804c-617e-4f5f-b5a5-e08501a66e24
106,2024-12-26 16:47:09,Mouse,Accesorios,1107.27,3,3321.81,Centro,090efb5d-3e47-454b-82a9-a9c4b77b2619
107,2024-11-19 11:09:36,Webcam,Accesorios,860.4,3,2581.2,Centro,9385057e-ae16-4223-9013-cf71322b53ab
108,2024-11-25 19:25:10,Monitor,Electrónica,916.63,1,916.63,Centro,9fdbe038-a233-4992-b395-6c4e52d62680
109,2025-06-12 21:40:50,Teléfono,Electrónica,466.39,3,1399.17,Oeste,295c1e3b-a349-465f-879e-657fbd2a8411
110,2024-10-20 21:10:19,Mouse,Accesorios,427.01,1,427.01,Oeste,f9100004-1fca-4174-b575-929db7ebaff6
111,2024-09-02 00:54:07,Bocina,Audio,263.07,1,263.07,Este,e2151233-2698-4146-a15a-8954c647ec09
112,2024-07-21 20:51:36,Laptop,Electrónica,1398.07,3,4194.21,Centro,10b636fc-b1bb-48f7-b37f-fbc06687d3ae
113,2025-05-23 17:44:02,Webcam,Accesorios,699.1,1,699.1,Norte,d96d165d-f310-432d-bf01-b711c9b8426d
114,2024-09-16 04:18:14,Teclado,Accesorios,807.12,5,4035.6,Oeste,1ecab4c9-3ead-4ecf-b7ab-5cb4bd76b5e2
115,2024-06-28 11:45:31,Audífonos,Accesorios,166.69,5,833.45,Norte,a8b58b1b-639c-4508-8d6d-fe15615130d1
116,2025-04-11 10:45:20,Teléfono,Electrónica,925.65,3,2776.95,Oeste,1120202a-1141-404b-89b1-2e790c82d3fb
117,2024-10-28 04:04:50,Teléfono,Electrónica,1031.36,5,5156.8,Centro,52f81e28-3956-42f4-ab34-ae6d85324ded
118,2025-05-13 15:23:33,Cargador,Accesorios,603.27,4,2413.08,Centro,4b7ec5be-6fdb-4119-9add-b981565a09cd
119,2024-12-02 03:50:24,Webcam,Accesorios,442.72,2,885.44,Norte,dad666bf-6320-476b-b283-95eacaa199f1
120,2024-06-25 08:02:09,Laptop,Electrónica,934.69,2,1869.38,Este,98d1c8f0-6d50-4570-b56a-de67cea2d245
121,2024-09-18 00:54:46,Monitor,Electrónica,1351.06,3,4053.18,Este,08053220-7e7c-4761-b604-47e14bfb1d4e
122,2025-03-08 17:50:52,Laptop,Electrónica,749.85,4,2999.4,Sur,f0335707-fb37-4100-a58a-ad0bb7b0de7b
123,2025-02-10 04:24:44,Webcam,Accesorios,972.2,2,1944.4,Sur,f3a22ff2-4035-4d04-93a3-eba23ba10a0f
124,2024-07-31 06:10:03,Mouse,Accesorios,641.1,3,1923.3,Este,d83855e9-1830-44c1-978d-207d0233d6df
125,2025-04-19 03:22:47,Teclado,Accesorios,374.57,1,374.57,Sur,f4e30cc4-2209-4f33-9e46-dc0c947a8636
126,2024-07-25 01:48:58,Audífonos,Accesorios,514.06,4,2056.24,Centro,eece94a5-cf92-4b86-bb40-8c47a3e63854
127,2025-02-25 04:07:13,Audífonos,Accesorios,449.19,3,1347.57,Sur,a282161e-2310-4f7b-945a-33314e5019c0
128,2025-04-12 17:08:36,Laptop,Electrónica,101.33,2,202.66,Este,244ea6ee-e1e2-43af-812c-3c73f72a6e6b
129,2024-12-13 00:40:46,Monitor,Electrónica,311.91,5,1559.55,Centro,ebbe039c-608c-40a2-bf3e-7423f4b3c388
130,2024-08-11 08:06:05,Mouse,Accesorios,1464.18,4,5856.72,Norte,82a9523c-642e-4938-a24a-23cde28d19f9
131,2024-10-23 19:52:54,Teléfono,Electrónica,1247.61,5,6238.05,Oeste,c8531dae-0878-4b02-ab7e-ef272824af93
132,2024-09-13 22:10:25,Monitor,Electrónica,1160.43,5,5802.15,Sur,13a40932-7511-429b-b879-4addd784f41e
133,2025-06-10 07:18:29,Bocina,Audio,407.8,2,815.6,Este,97f00a97-79c7-4465-bbd9-14e2bcc6717b
134,2025-04-01 13:13:36,Monitor,Electrónica,820.67,2,1641.34,Norte,ad326c2f-fe48-4617-b2f4-e5408b3b45d2
135,2025-06-16 22:46:06,Monitor,Electrónica,526.24,2,1052.48,Este,23fd01e0-e0c9-4256-b6bc-7f72016a4a94
136,2025-03-08 23:21:10,Teléfono,Electrónica,294.66,3,883.98,Norte,19799769-80c2-4cb3-8ca7-2d1920da12c5
137,2024-10-01 21:23:35,Audífonos,Accesorios,441.17,1,441.17,Este,f4b784b3-da0a-4a47-a681-6a18a16d0202
138,2025-03-08 00:30:27,Tablet,Electrónica,313.73,4,1254.92,Centro,2081678a-c08e-4e7e-b92b-40cfc7b5eb60
139,2024-08-16 02:19:23,Mouse,Accesorios,1417.04,5,7085.2,Centro,c5ee7d74-f34e-4ac0-907c-09478cf1e7d8
140,2024-11-19 16:50:37,Bocina,Audio,29.29,2,58.58,Este,58cdc3b3-bbb2-4280-a440-e153da4a6030
141,2024-08-05 05:50:38,Mouse,Accesorios,1285.29,4,5141.16,Este,d367d4e6-052d-43df-a0c4-98fe2156f521
142,2024-07-07 12:55:05,Audífonos,Accesorios,1078.02,4,4312.08,Oeste,98ebe0cf-4695-4166-bcbf-fbd9ae5fc979
143,2025-03-15 09:42:28,Bocina,Audio,543.24,3,1629.72,Este,13d318aa-58f0-430e-b738-0c54fe4ef019
144,2025-02-22 16:05:45,Laptop,Electrónica,296.66,1,296.66,Oeste,3c9095d3-0ca0-44d0-9e72-98cec0438f10
145,2024-07-24 06:52:05,Webcam,Accesorios,1434.33,3,4302.99,Norte,48cf33df-e15a-45fa-98a9-324fc7bbec44
146,2025-02-19 15:00:06,Webcam,Accesorios,301.53,2,603.06,Norte,f29df323-d51b-413b-bc1c-45f176e4a545
147,2025-01-01 03:42:33,Teléfono,Electrónica,557.41,3,1672.23,Este,5c5f23bc-7b1a-4864-a402-14aa07325c41
148,2025-01-27 08:25:06,Mouse,Accesorios,1398.87,5,6994.35,Este,e9d8ba5c-2fbe-40db-936f-09904bdc9716
149,2024-11-01 21:38:34,Teléfono,Electrónica,596.63,5,2983.15,Este,3e6b8466-2709-4735-94ba-ad6f63660a9f
150,2025-05-09 08:28:07,Teclado,Accesorios,1417.14,5,7085.7,Oeste,80e03936-1ea5-4052-b40f-258d440cd210
151,2024-11-16 21:21:05,Teléfono,Electrónica,33.58,1,33.58,Norte,ab3e47df-f8a5-46ef-9d86-a90655c408be
152,2025-03-19 08:37:36,Cargador,Accesorios,1458.9,1,1458.9,Este,431fbf0b-45ac-4c34-af24-91b6fd37ef86
153,2024-12-26 20:34:20,Teclado,Accesorios,480.07,4,1920.28,Sur,9105bf57-f570-4ab4-ae60-082fd7a9c2af
154,2024-09-21 01:34:03,Monitor,Electrónica,1184.29,5,5921.45,Oeste,cbbeb9b1-9be9-4b27-8013-3444fd302cb1
155,2025-05-05 21:41:49,Teléfono,Electrónica,1282.0,1,1282.0,Norte,e9a21fb7-f880-4724-9b0b-2734d00c8dfb
156,2024-08-13 23:34:44,Teclado,Accesorios,1385.67,1,1385.67,Centro,eebafd0d-2940-4a47-b25f-a75dede93952
157,2025-03-25 01:50:45,Mouse,Accesorios,377.41,3,1132.23,Este,d96a0a1a-e011-4c82-b656-ee8bcdf59506
158,2025-06-07 15:30:07,Laptop,Electrónica,833.02,4,3332.08,Centro,4ec409f2-2550-4b56-9e48-857aeb02f9f1
159,2024-10-11 04:11:19,Webcam,Accesorios,547.75,4,2191.0,Centro,693bfecb-5808-415a-81b6-ef68baed8bee
160,2025-02-20 22:52:41,Audífonos,Accesorios,736.49,4,2945.96,Norte,cc5cf688-1432-4d39-a52c-cef0d2323833
161,2025-01-25 21:01:19,Mouse,Accesorios,53.53,3,160.59,Oeste,8962cce3-1cd5-4c42-ba92-05a0b24926b7
162,2025-05-04 17:09:18,Teléfono,Electrónica,930.52,1,930.52,Sur,d12e11dd-775f-4b88-b234-204e24fb2ff3
163,2025-04-05 06:05:17,Monitor,Electrónica,570.87,3,1712.61,Norte,701407e2-5217-4537-8c34-2e52d7a62937
164,2024-10-21 01:29:47,Cargador,Accesorios,526.79,1,526.79,Este,92f8f8a3-f670-4a07-81e2-36d09999bc42
165,2024-10-13 14:12:16,Laptop,Electrónica,188.78,2,377.56,Oeste,dc27c78c-2986-4883-b3aa-0481493e6ec5
166,2025-06-23 16:50:56,Webcam,Accesorios,730.35,2,1460.7,Centro,45b4baa3-b4e3-48e6-9527-f9ea6e7ec6ba
167,2024-12-29 23:32:01,Audífonos,Accesorios,771.26,1,771.26,Sur,198a3e4b-3bfc-465c-a935-5d9d7aeaa66f
168,2024-07-22 23:13:31,Monitor,Electrónica,1355.89,5,6779.45,Sur,5cf52bfb-1a5a-4244-bb6d-682c6dd7ee0f
169,2025-05-18 23:25:51,Bocina,Audio,810.37,2,1620.74,Centro,dc258b59-4a10-48e2-8225-6571f7e55973
170,2025-02-20 03:26:49,Mouse,Accesorios,695.84,5,3479.2,Norte,ad709f68-bcde-41d8-a238-f3a3c83d0453
171,2024-08-07 11:30:05,Teclado,Accesorios,873.36,1,873.36,Oeste,252b81a5-eb89-4295-a67d-4406050a42b5
172,2024-09-23 00:59:12,Audífonos,Accesorios,765.41,2,1530.82,Centro,c7a9ce81-518e-4d47-95cb-3e7d64b8322a
173,2025-01-24 05:13:41,Teclado,Accesorios,322.62,5,1613.1,Oeste,3ad2cdcc-19ed-4a05-9117-4c240a76c7d6
174,2024-09-12 20:30:48,Tablet,Electrónica,1039.72,2,2079.44,Centro,0865d784-b7e4-4e2a-a90b-06d3c1b21be0
175,2025-05-18 18:07:19,Cargador,Accesorios,176.14,2,352.28,Oeste,4627a4f7-4aed-472e-b7cf-bedf5a72a1f7
176,2024-12-19 00:21:35,Tablet,Electrónica,109.19,4,436.76,Oeste,f123aab3-ebd2-4396-8652-f288d8296fef
177,2025-06-02 21:04:23,Audífonos,Accesorios,1376.39,1,1376.39,Este,efc821c0-b657-4574-aa41-3d057e25c8e0
178,2024-07-20 12:50:34,Bocina,Audio,1382.16,2,2764.32,Norte,f2f91c1f-753c-433d-aa18-db71e3a82b9c
179,2024-12-12 02:42:21,Laptop,Electrónica,997.25,2,1994.5,Sur,88d70fab-cd75-4bad-bfee-24bb5ae2eca8
180,2024-10-21 08:53:00,Laptop,Electrónica,977.09,3,2931.27,Oeste,9975fbc8-7dcd-4383-add4-7719f93f4a9c
181,2025-03-29 21:27:39,Laptop,Electrónica,1319.56,3,3958.68,Sur,db9ca338-cdbd-48aa-a98d-7622578e8443
182,2024-09-10 03:42:16,Webcam,Accesorios,946.42,2,1892.84,Sur,eac8dc47-9467-4da7-b41e-e1a9eeb4a015
183,2025-01-08 13:45:02,Audífonos,Accesorios,145.11,1,145.11,Este,510d33e8-d6c5-4904-8dc8-8d15ca3a2e06
184,2025-02-16 03:18:14,Audífonos,Accesorios,14.7,5,73.5,Centro,a189ea14-7c3e-4fca-bab1-a371940ce559
185,2025-02-17 10:17:12,Teléfono,Electrónica,1290.35,5,6451.75,Oeste,8122abce-7c63-45b0-9a54-367b0b2337a8
186,2025-04-27 20:23:57,Tablet,Electrónica,295.05,3,885.15,Oeste,b970d96e-f4af-452d-b02e-a12bc248255b
187,2024-08-07 20:40:35,Teclado,Accesorios,146.59,5,732.95,Sur,3c82b6c5-55fa-4f0d-ace5-beba28e112bf
188,2025-05-01 18:39:06,Monitor,Electrónica,669.58,1,669.58,Oeste,3794c067-88e2-4732-89ba-a03222c8bd1c
189,2025-01-09 05:19:15,Webcam,Accesorios,1175.65,2,2351.3,Norte,304a431e-9c35-4119-9867-e3935f433c83
190,2025-04-17 21:59:51,Monitor,Electrónica,496.77,5,2483.85,Centro,80f351a5-5f59-4316-9303-23cf01a984a1
191,2024-11-15 21:21:03,Webcam,Accesorios,1481.6,4,5926.4,Centro,403b0c3f-1d2d-4f91-99c1-7172ac73e420
192,2025-01-04 15:33:17,Monitor,Electrónica,173.82,3,521.46,Este,c504940e-1978-4068-a5e7-2ed544de19f9
193,2025-02-03 22:46:52,Mouse,Accesorios,881.2,3,2643.6,Sur,f294ede0-5d25-4dda-a9b1-a37c6322c15b
194,2025-05-12 19:41:14,Bocina,Audio,27.24,5,136.2,Centro,c27dd1f6-7f48-4bab-b6a1-12b73e54fd81
195,2024-10-08 14:57:59,Audífonos,Accesorios,724.09,4,2896.36,Sur,2115df24-2ef7-4944-a35a-e62b484ab631
196,2025-05-13 08:10:05,Laptop,Electrónica,549.23,1,549.23,Centro,c7599cf7-ad5c-4adf-962a-bfef2acd4c2e
197,2024-09-07 17:17:50,Teclado,Accesorios,599.24,4,2396.96,Oeste,00bc66c5-615f-437a-a312-f8f7e9741107
198,2025-04-22 04:15:39,Laptop,Electrónica,1072.91,4,4291.64,Este,84ec0239-b788-4637-aaad-03baf980a3e1
199,2025-04-12 08:13:40,Mouse,Accesorios,1061.27,4,4245.08,Sur,c666ec43-7255-4016-ab40-9cb6d5830add
200,2025-02-20 18:38:33,Teléfono,Electrónica,430.61,4,1722.44,Centro,04e0e300-95fe-4d55-b03a-0eb5e8e0cab9
201,2025-01-08 02:49:08,Laptop,Electrónica,1194.52,5,5972.6,Norte,74a02507-1431-4387-9111-f273d2a93f14
202,2025-03-26 00:53:50,Cargador,Accesorios,124.36,1,124.36,Norte,30bfc11b-0b05-4cb9-bfa1-89d2ab9d2bb5
203,2025-05-12 15:10:21,Laptop,Electrónica,1105.14,1,1105.14,Este,ed643fdf-5158-41ae-9c6f-4e2d5732c0dc
204,2025-06-01 00:07:35,Bocina,Audio,704.09,1,704.09,Este,39dc3c4e-6458-453a-8ace-e5c880224711
